id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,offer_disclaimer,offer_disclaimer_url,video[0].url,video[0].tag[0],gtin,product_tags[0],product_tags[1],style[0]
85-1,Abaya Inner - Beige,"Abaya inners are purchased separately from coat style abayas. Manufactured in Royal Maza perfect to keeping cool, and layer your abayas flexibly and stylishly.",in stock,new,2500.00 LKR,https://nooramodesty.com/product/aby-acc-rm-beige-inner,https://cdn.sanity.io/images/1uqris3e/production/84afc04b4475d6a8f27f43731c120e93bf2964cf-570x511.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,28abcf49-5bd8-4a1f-99fc-09643c404a56,female,Beige,XS,adult,Royal Maza,,,,,,,,,coat-abayas,Abaya Accessories,
85-2,Abaya Inner - Beige,"Abaya inners are purchased separately from coat style abayas. Manufactured in Royal Maza perfect to keeping cool, and layer your abayas flexibly and stylishly.",in stock,new,2500.00 LKR,https://nooramodesty.com/product/aby-acc-rm-beige-inner,https://cdn.sanity.io/images/1uqris3e/production/84afc04b4475d6a8f27f43731c120e93bf2964cf-570x511.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,28abcf49-5bd8-4a1f-99fc-09643c404a56,female,Beige,S,adult,Royal Maza,,,,,,,,,coat-abayas,Abaya Accessories,
85-3,Abaya Inner - Beige,"Abaya inners are purchased separately from coat style abayas. Manufactured in Royal Maza perfect to keeping cool, and layer your abayas flexibly and stylishly.",in stock,new,2500.00 LKR,https://nooramodesty.com/product/aby-acc-rm-beige-inner,https://cdn.sanity.io/images/1uqris3e/production/84afc04b4475d6a8f27f43731c120e93bf2964cf-570x511.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,28abcf49-5bd8-4a1f-99fc-09643c404a56,female,Beige,M,adult,Royal Maza,,,,,,,,,coat-abayas,Abaya Accessories,
85-4,Abaya Inner - Beige,"Abaya inners are purchased separately from coat style abayas. Manufactured in Royal Maza perfect to keeping cool, and layer your abayas flexibly and stylishly.",in stock,new,2500.00 LKR,https://nooramodesty.com/product/aby-acc-rm-beige-inner,https://cdn.sanity.io/images/1uqris3e/production/84afc04b4475d6a8f27f43731c120e93bf2964cf-570x511.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,28abcf49-5bd8-4a1f-99fc-09643c404a56,female,Beige,L,adult,Royal Maza,,,,,,,,,coat-abayas,Abaya Accessories,
85-5,Abaya Inner - Beige,"Abaya inners are purchased separately from coat style abayas. Manufactured in Royal Maza perfect to keeping cool, and layer your abayas flexibly and stylishly.",in stock,new,2500.00 LKR,https://nooramodesty.com/product/aby-acc-rm-beige-inner,https://cdn.sanity.io/images/1uqris3e/production/84afc04b4475d6a8f27f43731c120e93bf2964cf-570x511.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,28abcf49-5bd8-4a1f-99fc-09643c404a56,female,Beige,XL,adult,Royal Maza,,,,,,,,,coat-abayas,Abaya Accessories,
85-6,Abaya Inner - Beige,"Abaya inners are purchased separately from coat style abayas. Manufactured in Royal Maza perfect to keeping cool, and layer your abayas flexibly and stylishly.",in stock,new,2500.00 LKR,https://nooramodesty.com/product/aby-acc-rm-beige-inner,https://cdn.sanity.io/images/1uqris3e/production/84afc04b4475d6a8f27f43731c120e93bf2964cf-570x511.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,28abcf49-5bd8-4a1f-99fc-09643c404a56,female,Beige,XXL,adult,Royal Maza,,,,,,,,,coat-abayas,Abaya Accessories,
83-1,Abaya Inner - Black,"Abaya inners are purchased separately from coat style abayas. Manufactured in Royal Maza perfect to keeping cool, and layer your abayas flexibly and stylishly.",in stock,new,2500.00 LKR,https://nooramodesty.com/product/aby-acc-rm-bl-inner,https://cdn.sanity.io/images/1uqris3e/production/083290b9272638b5ec62e9d9136ac8e79c7808d0-681x500.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,241712b4-e628-4e7b-acdb-0fa80defcec8,female,Black,XS,adult,Royal Maza,,,,,,,,,coat-abayas,Abaya Accessories,
83-2,Abaya Inner - Black,"Abaya inners are purchased separately from coat style abayas. Manufactured in Royal Maza perfect to keeping cool, and layer your abayas flexibly and stylishly.",in stock,new,2500.00 LKR,https://nooramodesty.com/product/aby-acc-rm-bl-inner,https://cdn.sanity.io/images/1uqris3e/production/083290b9272638b5ec62e9d9136ac8e79c7808d0-681x500.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,241712b4-e628-4e7b-acdb-0fa80defcec8,female,Black,S,adult,Royal Maza,,,,,,,,,coat-abayas,Abaya Accessories,
83-3,Abaya Inner - Black,"Abaya inners are purchased separately from coat style abayas. Manufactured in Royal Maza perfect to keeping cool, and layer your abayas flexibly and stylishly.",in stock,new,2500.00 LKR,https://nooramodesty.com/product/aby-acc-rm-bl-inner,https://cdn.sanity.io/images/1uqris3e/production/083290b9272638b5ec62e9d9136ac8e79c7808d0-681x500.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,241712b4-e628-4e7b-acdb-0fa80defcec8,female,Black,M,adult,Royal Maza,,,,,,,,,coat-abayas,Abaya Accessories,
83-4,Abaya Inner - Black,"Abaya inners are purchased separately from coat style abayas. Manufactured in Royal Maza perfect to keeping cool, and layer your abayas flexibly and stylishly.",in stock,new,2500.00 LKR,https://nooramodesty.com/product/aby-acc-rm-bl-inner,https://cdn.sanity.io/images/1uqris3e/production/083290b9272638b5ec62e9d9136ac8e79c7808d0-681x500.jpg,Noora Modesty,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,,,241712b4-e628-4e7b-acdb-0fa80defcec8,female,Black,L,adult,Royal Maza,,,,,,,,,coat-abayas,Abaya Accessories,
